source_file,pose_idx,rmsd,gnina_score,cnn_score,cnn_affinity,pass_threshold
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_7_out.sdf,11,4.0511,19.70754,0.582067728,5.5720229149,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_8_out.sdf,17,4.0513,-6.50536,0.5571118593,4.9465208054,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_9_out.sdf,9,4.0521,-6.03178,0.7760535479,6.1115136147,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_1_out.sdf,16,4.0555,-0.77754,0.5565592051,5.9435572624,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_7_out.sdf,5,4.0636,-6.25599,0.8275123835,6.0640926361,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_8_out.sdf,6,4.0661,-5.86744,0.8049433231,6.0585231781,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_7_out.sdf,10,4.0663,8.48877,0.61457932,4.9450025558,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_10_out.sdf,7,4.0681,-5.88645,0.8308093548,6.0934300423,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_9_out.sdf,19,4.0684,3.35734,0.4967503846,4.7591609955,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_11_out.sdf,2,4.0687,-6.8357,0.928098619,6.1296043396,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_7_out.sdf,12,4.0713,22.33683,0.5762056708,5.6001801491,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_9_out.sdf,6,4.0858,-5.78114,0.8062629104,6.0720043182,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_1_out.sdf,9,4.0867,-5.37319,0.6990975142,5.9227700233,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_11_out.sdf,17,4.0999,13.8629,0.5642547011,4.7582840919,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_10_out.sdf,16,4.1000,22.24932,0.5634782314,4.784078598,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_11_out.sdf,10,4.1008,-2.35601,0.6508500576,6.0645737648,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_4_out.sdf,5,4.1054,-6.08976,0.7882994413,6.1362519264,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_4_out.sdf,9,4.1067,-5.16425,0.7065733671,5.9751973152,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_7_out.sdf,16,4.1163,6.09614,0.4857681394,4.5892772675,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_1_out.sdf,8,4.1227,-6.18193,0.7086395621,4.9595217705,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_9_out.sdf,16,4.1242,10.16933,0.5988763571,4.7523856163,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_11_out.sdf,14,4.1295,81.46524,0.587149322,5.0302028656,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_11_out.sdf,3,4.1330,-7.38233,0.9036259055,6.1642284393,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_4_out.sdf,16,4.1390,74.8301,0.5727947354,4.7025699615,False
6X3U_aligned_apo_flumazenil_qm_ensemble_conf_10_out.sdf,17,4.1391,5.5314,0.5570735931,5.0829277039,False
